	Unnamed: 0	Außenbezirk	Adresse	Räume	Preis	Datum	PLZ	Parkplätze	Landgrösse	Breitengrad	Längengrad
60	60	Abbotsford	4/328 Johnston St	2		2016-05-28	3067				
61	61	Abbotsford	200 Nicholson St	2	1012500	2016-05-28	3067	0	182	-37.8021	144.9976
62	62	Abbotsford	82/84 Trenerry Cr	2	970000	2016-05-28	3067				
63	63	Abbotsford	27 Charles St	2	1030000	2016-07-30	3067	1	172	-37.8086	144.9946
64	64	Abbotsford	22 Park St	4		2016-07-30	3067			-37.8084	144.9942
65	65	Abbotsford	40/80 Trenerry Cr	3	927000	2016-07-30	3067				
66	66	Airport West	154 Halsey Rd	3	840000	2016-09-03	3042	1	303	-37.718	144.878
67	67	Airport West	50 Bedford St	3	730000	2016-12-03	3042	1	0	-37.7203	144.8755
68	68	Airport West	50 Bedford St	3	770000	2017-03-04	3042	1	0	-37.7203	144.8755
69	69	Airport West	5 Harrington Rd	3		2017-03-04	3042	1	580	-37.7235	144.8736
70	70	Airport West	23 Hart St	2	603000	2017-03-04	3042	1	272	-37.7294	144.888
71	71	Airport West	1/80 Hawker St	3	700000	2017-03-04	3042	2	239	-37.7218	144.8837
72	72	Airport West	1/37 Hillside Gr	3	600000	2017-03-04	3042	1	290	-37.7273	144.8744
73	73	Airport West	2/49 McIntosh St	2	500000	2017-03-04	3042	1	168	-37.7215	144.8864
74	74	Airport West	4/9 West Ct	2	420000	2016-06-04	3042				
75	75	Airport West	1/36 York St	3	500000	2016-06-04	3042				
76	76	Airport West	33 Bowes Av	5	1035000	2016-08-06	3042				
77	77	Airport West	89 Bowes Av	4	960000	2016-08-06	3042				
78	78	Airport West	45 Laurence Av	4	960000	2016-08-06	3042				
79	79	Airport West	54 Marshall Rd	3	720000	2016-08-06	3042	1	620	-37.7173	144.8872
80	80	Airport West	36 Roberts Rd	4	785000	2016-08-06	3042	2	597	-37.7259	144.8792
81	81	Airport West	11 Harrington Rd	6	725000	2016-05-07	3042	2	976	-37.7239	144.8735
82	82	Airport West	2/252 Parer Rd	2	450000	2016-05-07	3042	1	110	-37.7216	144.871
83	83	Airport West	3/19 Hart St	2	515000	2016-11-07	3042	1	141	-37.7298	144.8883
84	84	Airport West	81a Roberts Rd	3	680000	2016-10-08	3042				
85	85	Airport West	2/62 Clydesdale Rd	2	530000	2016-09-10	3042	1	120	-37.7234	144.8792
86	86	Airport West	3 Deidre Ct	3	895000	2016-09-10	3042	6	1063	-37.7249	144.8728
87	87	Airport West	3/24 Elstone Av	3	600000	2016-09-10	3042				
88	88	Airport West	13 Etzel St	3	805000	2016-12-10	3042	1	0	-37.7217	144.8783
89	89	Airport West	37a North St	3	760000	2016-12-10	3042				
90	90	Airport West	1/43 Cameron St	3	752000	2017-02-11	3042	1	265	-37.7302	144.8855
91	91	Airport West	1/69 Bowes Av	3	580000	2016-11-12	3042				
92	92	Airport West	2/9 El Reno Cr	3	725000	2016-11-12	3042				
93	93	Airport West	92 McNamara Av	4	758000	2016-08-13	3042				
94	94	Airport West	145a Victory Rd	2	440000	2016-08-13	3042	1	192	-37.7177	144.8787
95	95	Airport West	20 Creswell Av	3	970000	2016-05-14	3042				
96	96	Airport West	241 Parer Rd	5	755000	2016-05-14	3042	2	596	-37.7248	144.8699
97	97	Airport West	71 Bowes Av	4	985000	2016-10-15	3042				
98	98	Airport West	2/40 Earl St	3	700000	2016-10-15	3042	2	165	-37.727	144.887
99	99	Airport West	2/112 Parer Rd	2	509500	2016-10-15	3042				
100	100	Airport West	180 Parer Rd	3	830000	2016-04-16	3042	2	971	-37.7186	144.876
101	101	Airport West	4/54 Hawker St	2	462500	2016-07-16	3042	1	164	-37.7218	144.8863
102	102	Airport West	43 Hillside Gr	3	670000	2016-07-16	3042	2	657	-37.7269	144.8742
103	103	Airport West	174 Parer Rd	2	675000	2016-07-16	3042	1	612	-37.7187	144.8765
104	104	Airport West	138 Victory Rd	3	1042000	2016-07-16	3042	5	612	-37.7173	144.8796
105	105	Airport West	75 King St	3	910000	2016-09-17	3042	1	775	-37.7231	144.8835
106	106	Airport West	6 Kittyhawk St	4	773000	2016-09-17	3042	4	531	-37.7263	144.8679
107	107	Airport West	7 McNamara Av	3	715000	2016-09-17	3042				
108	108	Airport West	478 Fullarton Rd	3	810000	2017-03-18	3042	2	555	-37.7285	144.8694
109	109	Airport West	144 Marshall Rd	3	715000	2017-03-18	3042	2	422	-37.7164	144.8792
110	110	Airport West	106 Parer Rd	3	790000	2017-03-18	3042	3	614	-37.7194	144.8827
111	111	Airport West	1/41 Hillside Gr	2	460000	2016-06-18	3042				
112	112	Airport West	3/7 South Rd	3	540000	2016-06-18	3042	1	161	-37.7231	144.8802
113	113	Airport West	37 North St	3	825000	2016-11-19	3042	1	293	-37.72	144.8776
114	114	Airport West	10 Hilbert Rd	3	685000	2016-05-22	3042	1	579	-37.7226	144.8733
115	115	Airport West	7/42 York St	3	445000	2016-05-22	3042				
116	116	Airport West	110 Halsey Rd	3	805000	2016-08-22	3042	1	623	-37.7184	144.882
117	117	Airport West	2/13 North St	2	510000	2016-08-22	3042	1	141	-37.7202	144.8797
118	118	Airport West	105a Victory Rd	3	612000	2016-08-22	3042	1	212	-37.7181	144.8824
119	119	Airport West	117 Marshall Rd	3	662000	2016-04-23	3042	2	612	-37.7169	144.8815
120	120	Airport West	34 Moorna Dr	4	978000	2016-09-24	3042	2	532	-37.7263	144.869
121	121	Airport West	2/89 Marshall Rd	3		2017-02-25	3042				
122	122	Airport West	33 North St	3	720000	2017-02-25	3042	1	585	-37.72	144.878
123	123	Airport West	4/40 McNamara Av	2	474000	2016-07-26	3042				
124	124	Airport West	5/93 McNamara Av	2	490000	2016-07-26	3042				
125	125	Airport West	2/137 McNamara Av	3	405000	2016-06-27	3042				
126	126	Airport West	1/46 Bowes Av	3	715000	2016-11-27	3042				
127	127	Airport West	1/34 Elstone Av	3	671500	2016-11-27	3042				
128	128	Airport West	49 Roberts Rd	4	765000	2016-11-27	3042	2	509	-37.7261	144.8785
129	129	Airport West	85 Roberts Rd	4	900000	2016-11-27	3042	3	628	-37.7256	144.8739
130	130	Airport West	22a Walters Av	3	820000	2016-08-28	3042				
131	131	Airport West	1/145 Parer Rd	3	650000	2016-07-30	3042				
132	132	Airport West	3/35 Walters Av	3	552000	2016-07-30	3042				
133	133	Albert Park	105 Kerferd Rd	2	1275000	2016-09-03	3206	0	120	-37.8459	144.9555
134	134	Albert Park	85 Richardson St	2	1455000	2016-09-03	3206	0	159	-37.845	144.9538
135	135	Albert Park	112 Beaconsfield Pde	3	2850000	2017-03-04	3206	0	211	-37.8481	144.9499
136	136	Albert Park	94 Graham St	3	1850000	2017-03-04	3206	0	128	-37.8452	144.9488
137	137	Albert Park	14 Merton St	2		2017-03-04	3206	0	215	-37.8405	144.953
138	138	Albert Park	396 Montague St	2	1436000	2017-03-04	3206	0	130	-37.8431	144.9565
139	139	Albert Park	9 Boyd St	3		2016-08-06	3206	1	336	-37.8471	144.9561
140	140	Albert Park	75 Graham St	2	1110000	2016-08-06	3206	0	147	-37.8444	144.9484
141	141	Albert Park	54 Brooke St	2	1550000	2016-05-07	3206	1	167	-37.8405	144.9521
142	142	Albert Park	104 Richardson St	4	2300000	2016-05-07	3206	1	153	-37.8447	144.9523
143	143	Albert Park	81 Richardson St	3		2016-05-07	3206	2	316	-37.8449	144.9536
144	144	Albert Park	4a Mills St	3	1550000	2016-11-07	3206	2	718	-37.8443	144.9598
145	145	Albert Park	1 Moubray St	3	1800000	2016-11-07	3206	1	132	-37.8415	144.952
146	146	Albert Park	114 Victoria Av	3	2485000	2016-10-08	3206				
147	147	Albert Park	29 Faussett St	2	2120000	2016-09-10	3206	1	199	-37.8422	144.9554
148	148	Albert Park	3 Herbert St	3	1800000	2016-09-10	3206	1	253	-37.8443	144.9579
149	149	Albert Park	24 Kerferd Pl	3	1800000	2016-09-10	3206	1	90	-37.8421	144.9571
150	150	Albert Park	5 Withers St	3		2016-09-10	3206	0	126	-37.8427	144.9515
151	151	Albert Park	44 Draper St	2	1810000	2016-12-10	3206	0	240	-37.8379	144.9539
152	152	Albert Park	2 Dundas Pl	3	2615000	2016-12-10	3206	1	177	-37.8415	144.9585
153	153	Albert Park	23 Finlay St	5	2100000	2016-12-10	3206	1	237	-37.8436	144.9557
154	154	Albert Park	31 Richardson St	3	1300000	2016-12-10	3206	0	129	-37.8422	144.949
155	155	Albert Park	4a Gatehouse La	3	1370000	2016-06-12	3206	2	0	-37.8451	144.9511
156	156	Albert Park	60 Brooke St	2	1000000	2016-11-12	3206	0	288	-37.8407	144.9523
157	157	Albert Park	140 Danks St	2		2016-08-13	3206	2	366	-37.847	144.9506
158	158	Albert Park	70 Barrett St	3	2575000	2016-10-15	3206	1	228	-37.8445	144.9501
159	159	Albert Park	65 Graham St	2	1322500	2016-10-15	3206	0	149	-37.8443	144.9481
160	160	Albert Park	1 Herbert Pl	2		2016-10-15	3206	1	152	-37.8437	144.959
161	161	Albert Park	364 Montague St	2	1562500	2016-10-15	3206	0	141	-37.8424	144.9562
162	162	Albert Park	86 Mills St	3	2000000	2016-04-16	3206	1	211	-37.847	144.9575
163	163	Albert Park	28 Dinsdale St	4		2016-09-17	3206	0	236	-37.8454	144.9521
164	164	Albert Park	90 Danks St	3		2017-03-18	3206	2	300	-37.8457	144.9479
165	165	Albert Park	129 Kerferd Rd	3	1900000	2017-03-18	3206	0	209	-37.8468	144.9546
166	166	Albert Park	97 Page St	3	3010000	2017-03-18	3206	0	147	-37.8473	144.9551
167	167	Albert Park	36 Ashworth St	3		2016-06-18	3206	0	173	-37.8482	144.9513
168	168	Albert Park	55 Withers St	4	2800000	2016-06-18	3206	1	327	-37.8467	144.9475
169	169	Albert Park	18 Herbert St	3		2016-11-19	3206	0	169	-37.8448	144.9578
170	170	Albert Park	10/140 Kerferd Rd	2	647000	2016-05-22	3206	1	0	-37.846	144.9542
171	171	Albert Park	9 Merton Pl	3		2016-05-22	3206	1	122	-37.845	144.9545
172	172	Albert Park	55 Merton St	3	2100000	2016-04-23	3206	1	120	-37.8427	144.9546
173	173	Albert Park	16 Dinsdale St	3		2016-09-24	3206	1	241	-37.8452	144.9518
174	174	Albert Park	51 Graham St	2		2016-09-24	3206	1	225	-37.8441	144.9479
175	175	Albert Park	143 Kerferd Rd	7		2016-09-24	3206	0	435	-37.8473	144.9539
176	176	Albert Park	49 Page St	3	2000000	2016-09-24	3206	1	238	-37.8461	144.9528
177	177	Albert Park	13/52 Moubray St	1	442500	2017-02-25	3206	0	0	-37.8421	144.9517
178	178	Albert Park	115 Page St	4	4735000	2017-02-25	3206	1	330	-37.8477	144.9558
179	179	Albert Park	32 Page St	2	1340000	2017-02-25	3206	0	136	-37.846	144.9517
180	180	Albert Park	34 Richardson St	3	1801000	2017-02-25	3206	1	202	-37.8429	144.9493
181	181	Albert Park	2b Dundas Pl	3	1532000	2016-07-26	3206	1	0	-37.8415	144.9585
182	182	Albert Park	22 Greig St	3	3755000	2016-07-26	3206	2	325	-37.8413	144.95
183	183	Albert Park	27 Barrett St	4	2140000	2016-06-27	3206	1	183	-37.8434	144.9495
184	184	Albert Park	3 Faussett St	2	1810000	2016-06-27	3206				
185	185	Albert Park	44 Greig St	2	1750000	2016-11-27	3206	1	162	-37.8416	144.9488
186	186	Albert Park	6 Brooke St	2	980000	2016-05-28	3206	0	79	-37.8387	144.9519
187	187	Albert Park	7 Herbert Pl	2		2016-05-28	3206	0	99	-37.8438	144.9588
188	188	Albert Park	8 Kerferd Pl	4		2016-05-28	3206	0	230	-37.842	144.958
189	189	Albert Park	5 Reed St	3		2016-05-28	3206	1	141	-37.8446	144.945
190	190	Albert Park	227a Danks St	3	2030000	2016-08-28	3206	0	152	-37.8488	144.9551
191	191	Albert Park	17 Reed St	3	1740000	2016-08-28	3206	2	147	-37.8448	144.9453
192	192	Albert Park	74 Bridport St	3	2800000	2016-07-30	3206	1	0	-37.8399	144.9577
193	193	Albert Park	9 Durham St	1	985000	2016-07-30	3206	0	81	-37.8411	144.9497
194	194	Alphington	30 Austin St	3		2016-09-03	3078	1	174	-37.7818	145.0198
195	195	Alphington	6 Smith St	4	2000000	2016-09-03	3078	4	853	-37.7707	145.0318
196	196	Alphington	5/6 Yarralea St	3	1110000	2016-09-03	3078	2	208	-37.7854	145.0325
197	197	Alphington	136A Fulham Rd	3	1492000	2017-03-04	3078	2	411	-37.7713	145.0279
198	198	Alphington	1/9 Roemer Cr	2	480000	2016-05-07	3078				
199	199	Alphington	4 Tuckett St	3		2016-05-07	3078	3	922	-37.7812	145.0235
200	200	Alphington	2/21 Fulham Rd	3	1304000	2016-10-08	3078				
201	201	Alphington	44 Shiers St	4	1717500	2016-10-08	3078	1	599	-37.7717	145.031
202	202	Alphington	83 Fulham Rd	5	2840000	2016-06-12	3078	4	809	-37.775	145.0268
203	203	Alphington	29 Alphington St	5		2016-11-12	3078	4	743	-37.7845	145.0208
204	204	Alphington	3/19 Harker St	2	525500	2016-11-12	3078	1	88	-37.7791	145.0306
205	205	Alphington	4/2 Miller St	2	805000	2016-11-12	3078	3	155	-37.7804	145.0308
206	206	Alphington	2/5 Yarana Rd	2	465000	2016-11-12	3078	1	0	-37.7773	145.0314
207	207	Alphington	4/5 Chandler Hwy	4		2016-08-13	3078				
208	208	Alphington	69 Lucerne Cr	3	1480000	2016-08-13	3078				
209	209	Alphington	815 Heidelberg Rd	3	2000000	2016-10-15	3078	2	686	-37.78	145.0341
210	210	Alphington	44 Naroon Rd	3	1540000	2016-04-16	3078	2	592	-37.7755	145.0288
211	211	Alphington	11 Tower Av	4		2016-04-16	3078				
212	212	Alphington	1/17 Rex Av	2	590000	2016-09-17	3078				
213	213	Alphington	3/98 Grange Rd	2	820000	2017-03-18	3078	1	183	-37.7747	145.0264
214	214	Alphington	10 Bennett St	4	1830000	2016-11-19	3078	2	606	-37.7743	145.0316
215	215	Alphington	38 Bennett St	4	2100000	2016-11-19	3078	2	575	-37.7723	145.0319
216	216	Alphington	2c Hamilton St	3	865000	2016-05-22	3078	1	180	-37.7802	145.0243
217	217	Alphington	5/5 Yarana Rd	2	390000	2016-05-22	3078	1	0	-37.7773	145.0314
218	218	Alphington	7/7 Chandler Hwy	2	650000	2016-09-24	3078	0	0	-37.7848	145.025
219	219	Alphington	1/14 Fulham Rd	2	512000	2017-02-25	3078	1	0	-37.7805	145.0262
220	220	Alphington	17 Lowther St	3	1361000	2017-02-25	3078			-37.7796	145.0285
221	221	Alphington	29 Naroon Rd	4		2017-02-25	3078	2	597	-37.7765	145.0283
222	222	Alphington	13a Fulham Rd	3	1310000	2016-07-26	3078				
223	223	Alphington	32/23 Coate Av	3	570000	2016-06-27	3078				
224	224	Alphington	22 Lowther St	3	1165000	2016-06-27	3078	2	979	-37.7792	145.029
225	225	Alphington	6/11 Broomfield Av	2	530000	2016-11-27	3078				
226	226	Alphington	11 Margaret Gr	4	1900000	2016-11-27	3078	2	556	-37.7844	145.0225
227	227	Alphington	21 Como St	5		2016-08-28	3078	2	552	-37.7829	145.0337
228	228	Alphington	6 Naroon Rd	3	1485000	2016-08-28	3078	0	597	-37.7781	145.0284
229	229	Alphington	42 Shiers St	4	1950000	2016-07-30	3078	3	589	-37.7719	145.0309
230	230	Altona	158 Queen St	3	520000	2016-09-03	3018	1	352	-37.87	144.825
231	231	Altona	59 Bracken Gr	5	1525000	2016-12-03	3018	3	729	-37.8721	144.8105
232	232	Altona	1/123 Blyth St	2	720000	2016-02-04	3018	2	292	-37.8687	144.8197
233	233	Altona	4 Blyth St	3	1120000	2017-03-04	3018	2	506	-37.8693	144.8375
234	234	Altona	20 Linnet St	4	780000	2016-06-04	3018	4	655	-37.868	144.8154
235	235	Altona	29 Rose St	4	1780000	2016-06-04	3018	6	1057	-37.8681	144.819
236	236	Altona	1/170 Blyth St	3	630000	2016-08-06	3018	2	311	-37.8702	144.8143
237	237	Altona	5/35 Grieve Pde	2	406000	2016-08-06	3018	1	65	-37.8693	144.8171
238	238	Altona	156 Maidstone St	3	660000	2016-05-07	3018	1	602	-37.8616	144.8116
239	239	Altona	11 Keeshan Ct	3	683500	2016-11-07	3018	1	530	-37.8594	144.817
240	240	Altona	1/4 Deavey Ct	2	540000	2016-10-08	3018				
241	241	Altona	1/136 Queen St	2	580000	2016-10-08	3018	1	225	-37.8696	144.827
242	242	Altona	173 Queen St	3	1335000	2016-10-08	3018	4	777	-37.8697	144.8249
243	243	Altona	1/265 Queen St	3	800000	2016-10-08	3018	2	280	-37.8734	144.8143
244	244	Altona	3/26 Grieve Pde	2	510000	2016-09-10	3018	1	127	-37.8686	144.8182
245	245	Altona	261 Queen St	4	1070000	2016-09-10	3018	2	695	-37.8733	144.8147
246	246	Altona	4/5 Rose St	2	425000	2016-09-10	3018	2	115	-37.871	144.8185
247	247	Altona	1/60 David St	3	605000	2016-12-10	3018	2	230	-37.8646	144.827
248	248	Altona	1A Merritt Ct	3	705000	2017-02-11	3018	2	197	-37.8579	144.8181
249	249	Altona	4/31 Millers Rd	2	391000	2017-02-11	3018	1	0	-37.8678	144.8384
250	250	Altona	111/112 Pier St	2	440000	2017-02-11	3018	1	0	-37.8659	144.831
251	251	Altona	24 Wren St	4	845000	2017-02-11	3018	2	745	-37.8658	144.8155
252	252	Altona	54 Seves St	3	766000	2017-03-11	3018				
253	253	Altona	1/152 Blyth St	3	743000	2016-11-12	3018	2	211	-37.8698	144.816
254	254	Altona	2/6 Galvin St	3	650000	2016-11-12	3018				
255	255	Altona	4/57 Blyth St	3	730000	2016-08-13	3018	1	69	-37.868	144.8286
256	256	Altona	10 Wilga Av	3	916500	2016-08-13	3018				
257	257	Altona	164 Maidstone St	3	635000	2016-05-14	3018	4	625	-37.8611	144.8114
258	258	Altona	3/25 Rayner St	2	620000	2016-05-14	3018	1	168	-37.8676	144.8202
259	259	Altona	3/46 Sargood St	2	447000	2016-10-15	3018	1	137	-37.8655	144.8299
260	260	Altona	1/57 Blyth St	3	730000	2016-04-16	3018	1	70	-37.868	144.8287
261	261	Altona	22 Fenfield St	3	678000	2016-04-16	3018	2	606	-37.8608	144.8124
262	262	Altona	5/8 David St	2	580000	2016-07-16	3018	1	175	-37.8687	144.8268
263	263	Altona	1/28 Seves St	3	712000	2016-09-17	3018	2	363	-37.8674	144.8375
264	264	Altona	27 McIntyre Dr	3	840000	2017-03-18	3018	2	534	-37.86	144.8245
265	265	Altona	4 Boyd St	3	980000	2016-11-19	3018	2	724	-37.8672	144.817
266	266	Altona	5a Emu Av	4	1000000	2016-11-19	3018				
267	267	Altona	12 Spear Ct	3	605100	2016-05-22	3018	0	265	-37.8583	144.8172
268	268	Altona	185 Queen St	3	880000	2016-08-22	3018	1	577	-37.8699	144.8235
269	269	Altona	3/20 Mulga St	3	577000	2016-04-23	3018	1	205	-37.8684	144.815
270	270	Altona	95 Blyth St	4		2017-02-25	3018	3	504	-37.8677	144.8252
271	271	Altona	51 Millers Rd	4	1030000	2017-02-25	3018	0	797	-37.8663	144.8387
272	272	Altona	2/119 Railway St N	3	605000	2017-02-25	3018	2	181	-37.8659	144.822
273	273	Altona	12 Ransom Av	3	685000	2017-02-25	3018				
274	274	Altona	2/5 Rose St	2		2017-02-25	3018	1	117	-37.871	144.8185
275	275	Altona	24 McIntyre Dr	3	753000	2016-06-27	3018	2	529	-37.8612	144.8247
276	276	Altona	104 Maidstone St	2	857000	2016-11-27	3018	1	675	-37.8653	144.8129
277	277	Altona	49 Bent St	3	1500000	2016-05-28	3018	1	929	-37.8651	144.832
278	278	Altona	5/57 Blyth St	3	730000	2016-05-28	3018	1	70	-37.868	144.8285
279	279	Altona	15 Kookaburra St	3	900000	2016-05-28	3018	4	697	-37.871	144.8075
280	280	Altona	219 Civic Pde	3	740000	2016-08-28	3018	2	604	-37.8631	144.8195
281	281	Altona	3 Curtin Ct	4	931000	2016-08-28	3018	3	532	-37.8637	144.8365
282	282	Altona	2/60 David St	2	535600	2016-07-30	3018	1	154	-37.8646	144.8272
283	283	Altona North	1 Beuron Rd	3		2016-09-03	3025	1	620	-37.829	144.848
284	284	Altona North	45 Hearn St	5	1085000	2016-09-03	3025	6	592	-37.8388	144.8567
285	285	Altona North	4 Knapp St	3	781000	2016-09-03	3025	2	533	-37.8291	144.835
286	286	Altona North	103 Sixth Av	4	857500	2016-09-03	3025				
287	287	Altona North	80A Hansen St	4	960000	2017-03-04	3025				
288	288	Altona North	21 Hatherley Gr	3	750000	2017-03-04	3025	3	554	-37.8449	144.85
289	289	Altona North	3/66 Marion St	2	421000	2017-03-04	3025	1	77	-37.8351	144.8529
290	290	Altona North	153 Mills St	3	1405000	2017-03-04	3025	3	655	-37.8338	144.8562
291	291	Altona North	1/70 Misten Av	2		2017-03-04	3025				
292	292	Altona North	33 Carthy St	3	683000	2016-06-04	3025	2	534	-37.8284	144.8355
293	293	Altona North	47 Ginifer Av	3		2016-06-04	3025				
294	294	Altona North	16 Harris St	3	623000	2016-06-04	3025	3	540	-37.8267	144.8368
295	295	Altona North	1/5 Little St	3	720000	2016-08-06	3025	1	0	-37.8379	144.8583
296	296	Altona North	58a Clematis Av	4	780000	2016-05-07	3025				
297	297	Altona North	1/77 Hansen St	3	720000	2016-05-07	3025				
298	298	Altona North	21 Joel Av	3	705000	2016-05-07	3025				
299	299	Altona North	1/95 Mills St	3	588000	2016-05-07	3025	1	328	-37.838	144.8555
300	300	Altona North	2/5 Stapley Cr	4	720000	2016-05-07	3025				
301	301	Altona North	5 Binns St	3	710000	2016-11-07	3025	3	540	-37.8294	144.8378
302	302	Altona North	2/9 First Av	2	550000	2016-11-07	3025				
303	303	Altona North	1/28 Irwin Av	3	640000	2016-11-07	3025				
304	304	Altona North	3/49 Misten Av	3	537500	2016-11-07	3025				
305	305	Altona North	29a The Broadway	4		2016-11-07	3025				
306	306	Altona North	25 Allan St	4	875000	2016-10-08	3025	4	559	-37.8448	144.8529
307	307	Altona North	9 Fourth Av	3	800000	2016-10-08	3025				
308	308	Altona North	11a Edward Av	3	713500	2016-09-10	3025				
