datetime,year,month,day,weekday,chocolate_normal,chocolate_fancy,chocolate_frozen
2020-04-17,2020,4,17,6,1355.0,423,407
2020-04-18,2020,4,18,7,970.0,336,441
2020-04-19,2020,4,19,1,942.0,542,464
2020-04-20,2020,4,20,2,876.0,363,356
2020-04-21,2020,4,21,3,652.0,259,337
2020-04-22,2020,4,22,4,534.0,309,346
2020-04-23,2020,4,23,5,1058.0,366,396
2020-04-24,2020,4,24,6,751.0,458,445
2020-04-25,2020,4,25,7,1228.0,340,308
2020-04-26,2020,4,26,1,822.0,404,422
2020-04-27,2020,4,27,2,766.0,410,376
2020-04-28,2020,4,28,3,989.0,274,285
2020-04-29,2020,4,29,4,645.0,358,248
2020-04-30,2020,4,30,5,779.0,374,484
2020-05-01,2020,5,1,6,1352.0,388,509
2020-05-02,2020,5,2,7,1316.0,559,467
2020-05-03,2020,5,3,1,999.0,523,515
2020-05-04,2020,5,4,2,528.0,256,677
2020-05-05,2020,5,5,3,617.0,375,432
2020-05-06,2020,5,6,4,581.0,384,479
2020-05-07,2020,5,7,5,675.0,354,586
2020-05-08,2020,5,8,6,1063.0,381,666
2020-05-09,2020,5,9,7,1130.0,472,767
2020-05-10,2020,5,10,1,982.0,500,827
2020-05-11,2020,5,11,2,662.0,311,529
2020-05-12,2020,5,12,3,820.0,306,606
2020-05-13,2020,5,13,4,486.0,249,534
2020-05-14,2020,5,14,5,954.0,250,564
2020-05-15,2020,5,15,6,1051.0,289,718
2020-05-16,2020,5,16,7,803.0,538,513
2020-05-17,2020,5,17,1,1005.0,412,757
2020-05-18,2020,5,18,2,571.0,260,482
2020-05-19,2020,5,19,3,734.0,292,433
2020-05-20,2020,5,20,4,743.0,366,552
2020-05-21,2020,5,21,5,627.0,281,659
2020-05-22,2020,5,22,6,1161.0,466,793
2020-05-23,2020,5,23,7,1242.0,402,703
2020-05-24,2020,5,24,1,667.0,358,509
2020-05-25,2020,5,25,2,898.0,423,686
2020-05-26,2020,5,26,3,513.0,314,631
2020-05-27,2020,5,27,4,803.0,253,571
2020-05-28,2020,5,28,5,528.0,346,452
2020-05-29,2020,5,29,6,609.0,460,601
2020-05-30,2020,5,30,7,1040.0,376,519
2020-05-31,2020,5,31,1,990.0,379,504
2020-06-01,2020,6,1,2,647.0,229,689
2020-06-02,2020,6,2,3,1082.0,302,719
2020-06-03,2020,6,3,4,784.0,319,901
2020-06-04,2020,6,4,5,931.0,307,779
2020-06-05,2020,6,5,6,1088.0,339,823
2020-06-06,2020,6,6,7,770.0,540,779
2020-06-07,2020,6,7,1,812.0,469,1021
2020-06-08,2020,6,8,2,761.0,254,955
2020-06-09,2020,6,9,3,489.0,383,682
2020-06-10,2020,6,10,4,1066.0,276,691
2020-06-11,2020,6,11,5,757.0,380,882
2020-06-12,2020,6,12,6,723.0,326,930
2020-06-13,2020,6,13,7,1034.0,463,811
2020-06-14,2020,6,14,1,584.0,478,877
2020-06-15,2020,6,15,2,731.0,383,695
2020-06-16,2020,6,16,3,559.0,363,902
2020-06-17,2020,6,17,4,911.0,366,860
2020-06-18,2020,6,18,5,921.0,250,625
2020-06-19,2020,6,19,6,701.0,341,972
2020-06-20,2020,6,20,7,1093.0,477,1069
2020-06-21,2020,6,21,1,1018.0,310,1273
2020-06-22,2020,6,22,2,728.0,245,807
2020-06-23,2020,6,23,3,481.0,208,892
2020-06-24,2020,6,24,4,1145.0,254,1000
2020-06-25,2020,6,25,5,870.0,264,1150
2020-06-26,2020,6,26,6,1030.0,306,1155
2020-06-27,2020,6,27,7,951.0,453,1222
2020-06-28,2020,6,28,1,589.0,343,1238
2020-06-29,2020,6,29,2,741.0,292,1140
2020-06-30,2020,6,30,3,741.0,304,1010
2020-07-01,2020,7,1,4,365.0,230,977
2020-07-02,2020,7,2,5,720.0,207,1119
2020-07-03,2020,7,3,6,613.0,321,1451
2020-07-04,2020,7,4,7,701.0,368,992
2020-07-05,2020,7,5,1,704.0,267,1227
2020-07-06,2020,7,6,2,721.0,300,1217
2020-07-07,2020,7,7,3,728.0,262,1110
2020-07-08,2020,7,8,4,404.0,236,1134
2020-07-09,2020,7,9,5,770.0,329,779
2020-07-10,2020,7,10,6,620.0,330,887
2020-07-11,2020,7,11,7,696.0,298,984
2020-07-12,2020,7,12,1,756.0,374,938
2020-07-13,2020,7,13,2,559.0,334,1090
2020-07-14,2020,7,14,3,408.0,232,1089
2020-07-15,2020,7,15,4,402.0,290,964
2020-07-16,2020,7,16,5,808.0,266,862
2020-07-17,2020,7,17,6,748.0,333,1190
2020-07-18,2020,7,18,7,841.0,399,854
2020-07-19,2020,7,19,1,500.0,381,1081
2020-07-20,2020,7,20,2,388.0,206,888
2020-07-21,2020,7,21,3,425.0,179,839
2020-07-22,2020,7,22,4,521.0,281,906
2020-07-23,2020,7,23,5,553.0,247,1398
2020-07-24,2020,7,24,6,685.0,267,1808
2020-07-25,2020,7,25,7,664.0,382,2194
2020-07-26,2020,7,26,1,441.0,290,1349
2020-07-27,2020,7,27,2,459.0,232,1516
2020-07-28,2020,7,28,3,426.0,261,1274
2020-07-29,2020,7,29,4,769.0,276,1214
2020-07-30,2020,7,30,5,592.0,209,941
2020-07-31,2020,7,31,6,447.0,203,1748
2020-08-01,2020,8,1,7,876.0,323,1556
2020-08-02,2020,8,2,1,437.0,226,1475
2020-08-03,2020,8,3,2,378.0,296,965
2020-08-04,2020,8,4,3,601.0,295,1755
2020-08-05,2020,8,5,4,459.0,252,1865
2020-08-06,2020,8,6,5,338.0,217,1964
2020-08-07,2020,8,7,6,434.0,286,2102
2020-08-08,2020,8,8,7,783.0,399,2231
2020-08-09,2020,8,9,1,546.0,249,2821
2020-08-10,2020,8,10,2,607.0,254,2239
2020-08-11,2020,8,11,3,438.0,220,1703
2020-08-12,2020,8,12,4,615.0,197,2287
2020-08-13,2020,8,13,5,775.0,291,1740
2020-08-14,2020,8,14,6,613.0,206,2368
2020-08-15,2020,8,15,7,637.0,302,1608
2020-08-16,2020,8,16,1,707.0,279,1914
2020-08-17,2020,8,17,2,426.0,238,1901
2020-08-18,2020,8,18,3,498.0,217,1908
2020-08-19,2020,8,19,4,400.0,290,1966
2020-08-20,2020,8,20,5,611.0,292,1503
2020-08-21,2020,8,21,6,570.0,361,1815
2020-08-22,2020,8,22,7,722.0,321,1532
2020-08-23,2020,8,23,1,606.0,230,2295
2020-08-24,2020,8,24,2,495.0,186,2782
2020-08-25,2020,8,25,3,459.0,289,1979
2020-08-26,2020,8,26,4,580.0,301,2224
2020-08-27,2020,8,27,5,327.0,285,1816
2020-08-28,2020,8,28,6,811.0,247,1997
2020-08-29,2020,8,29,7,1119.0,401,1539
2020-08-30,2020,8,30,1,933.0,378,2407
2020-08-31,2020,8,31,2,482.0,272,1407
2020-09-01,2020,9,1,3,433.0,313,1869
2020-09-02,2020,9,2,4,675.0,339,1432
2020-09-03,2020,9,3,5,703.0,217,1854
2020-09-04,2020,9,4,6,927.0,387,2132
2020-09-05,2020,9,5,7,848.0,326,1603
2020-09-06,2020,9,6,1,867.0,373,1526
2020-09-07,2020,9,7,2,633.0,292,921
2020-09-08,2020,9,8,3,606.0,342,1898
2020-09-09,2020,9,9,4,828.0,258,2052
2020-09-10,2020,9,10,5,633.0,302,1839
2020-09-11,2020,9,11,6,581.0,338,1484
2020-09-12,2020,9,12,7,579.0,411,1548
2020-09-13,2020,9,13,1,807.0,385,1806
2020-09-14,2020,9,14,2,796.0,255,1483
2020-09-15,2020,9,15,3,888.0,303,1478
2020-09-16,2020,9,16,4,746.0,374,1357
2020-09-17,2020,9,17,5,709.0,234,1383
2020-09-18,2020,9,18,6,714.0,426,1663
2020-09-19,2020,9,19,7,642.0,450,1561
2020-09-20,2020,9,20,1,1226.0,458,1707
2020-09-21,2020,9,21,2,652.0,358,1008
2020-09-22,2020,9,22,3,910.0,310,1199
2020-09-23,2020,9,23,4,787.0,341,1503
2020-09-24,2020,9,24,5,940.0,360,1115
2020-09-25,2020,9,25,6,1184.0,426,1327
2020-09-26,2020,9,26,7,1128.0,470,1176
2020-09-27,2020,9,27,1,1153.0,350,1331
2020-09-28,2020,9,28,2,1138.0,374,1316
2020-09-29,2020,9,29,3,819.0,288,940
2020-09-30,2020,9,30,4,1025.0,257,787
2020-10-01,2020,10,1,5,806.0,234,930
2020-10-02,2020,10,2,6,1190.0,445,732
2020-10-03,2020,10,3,7,879.0,441,1090
2020-10-04,2020,10,4,1,1541.0,309,731
2020-10-05,2020,10,5,2,1001.0,226,950
2020-10-06,2020,10,6,3,778.0,290,695
2020-10-07,2020,10,7,4,536.0,218,735
2020-10-08,2020,10,8,5,700.0,355,505
2020-10-09,2020,10,9,6,1493.0,317,773
2020-10-10,2020,10,10,7,1725.0,498,888
2020-10-11,2020,10,11,1,1264.0,359,764
2020-10-12,2020,10,12,2,547.0,287,601
2020-10-13,2020,10,13,3,970.0,448,811
2020-10-14,2020,10,14,4,1310.0,350,566
2020-10-15,2020,10,15,5,988.0,359,724
2020-10-16,2020,10,16,6,993.0,334,587
2020-10-17,2020,10,17,7,1001.0,858,755
2020-10-18,2020,10,18,1,991.0,790,885
2020-10-19,2020,10,19,2,1115.0,814,641
2020-10-20,2020,10,20,3,1288.0,666,573
2020-10-21,2020,10,21,4,1463.0,782,530
2020-10-22,2020,10,22,5,1496.0,1196,735
2020-10-23,2020,10,23,6,1850.0,1018,861
2020-10-24,2020,10,24,7,2131.0,1930,779
2020-10-25,2020,10,25,1,1789.0,1724,597
2020-10-26,2020,10,26,2,2895.0,1269,739
2020-10-27,2020,10,27,3,1628.0,879,457
2020-10-28,2020,10,28,4,1807.0,838,605
2020-10-29,2020,10,29,5,715.0,322,585
2020-10-30,2020,10,30,6,1094.0,591,628
2020-10-31,2020,10,31,7,1111.0,371,527
2020-11-01,2020,11,1,1,731.0,328,709
2020-11-02,2020,11,2,2,989.0,427,308
2020-11-03,2020,11,3,3,797.0,284,401
2020-11-04,2020,11,4,4,1369.0,379,315
2020-11-05,2020,11,5,5,1345.0,410,305
2020-11-06,2020,11,6,6,1315.0,294,299
2020-11-07,2020,11,7,7,1564.0,515,275
2020-11-08,2020,11,8,1,841.0,340,359
2020-11-09,2020,11,9,2,861.0,240,197
2020-11-10,2020,11,10,3,1105.0,307,129
2020-11-11,2020,11,11,4,979.0,241,167
2020-11-12,2020,11,12,5,895.0,310,161
2020-11-13,2020,11,13,6,1025.0,498,194
2020-11-14,2020,11,14,7,1492.0,409,144
2020-11-15,2020,11,15,1,1477.0,471,245
2020-11-16,2020,11,16,2,858.0,312,138
2020-11-17,2020,11,17,3,689.0,358,194
2020-11-18,2020,11,18,4,802.0,375,145
2020-11-19,2020,11,19,5,1144.0,403,203
2020-11-20,2020,11,20,6,1619.0,438,200
2020-11-21,2020,11,21,7,1361.0,543,201
2020-11-22,2020,11,22,1,988.0,363,180
2020-11-23,2020,11,23,2,1307.0,427,148
2020-11-24,2020,11,24,3,902.0,442,150
2020-11-25,2020,11,25,4,1441.0,354,122
2020-11-26,2020,11,26,5,1498.0,310,140
2020-11-27,2020,11,27,6,2046.0,325,179
2020-11-28,2020,11,28,7,1174.0,829,165
2020-11-29,2020,11,29,1,1216.0,760,202
2020-11-30,2020,11,30,2,790.0,402,193
2020-12-01,2020,12,1,3,813.0,482,199
2020-12-02,2020,12,2,4,1163.0,414,179
2020-12-03,2020,12,3,5,1646.0,511,144
2020-12-04,2020,12,4,6,1550.0,668,179
2020-12-05,2020,12,5,7,2440.0,1081,148
2020-12-06,2020,12,6,1,2162.0,656,202
2020-12-07,2020,12,7,2,959.0,690,188
2020-12-08,2020,12,8,3,1036.0,946,162
2020-12-09,2020,12,9,4,1550.0,582,200
2020-12-10,2020,12,10,5,1695.0,899,293
2020-12-11,2020,12,11,6,2348.0,937,302
2020-12-12,2020,12,12,7,3677.0,1024,357
2020-12-13,2020,12,13,1,2455.0,1716,411
2020-12-14,2020,12,14,2,2209.0,1283,372
2020-12-15,2020,12,15,3,2743.0,1645,299
2020-12-16,2020,12,16,4,1603.0,1134,346
2020-12-17,2020,12,17,5,2037.0,1750,400
2020-12-18,2020,12,18,6,3796.0,2638,577
2020-12-19,2020,12,19,7,5214.0,2467,383
2020-12-20,2020,12,20,1,3648.0,2054,405
2020-12-21,2020,12,21,2,3241.0,2098,405
2020-12-22,2020,12,22,3,1732.0,1670,433
2020-12-23,2020,12,23,4,1163.0,422,281
2020-12-24,2020,12,24,5,840.0,409,212
2020-12-25,2020,12,25,6,975.0,556,148
2020-12-26,2020,12,26,7,1649.0,448,297
2020-12-27,2020,12,27,1,744.0,441,365
2020-12-28,2020,12,28,2,685.0,320,194
2020-12-29,2020,12,29,3,561.0,415,211
2020-12-30,2020,12,30,4,1017.0,300,185
2020-12-31,2020,12,31,5,1267.0,350,259
