,Außenbezirk,Adresse,Räume,Preis,Datum,PLZ,Parkplätze,Landgrösse,Breitengrad,Längengrad
244,Altona,3/26 Grieve Pde,2,510000.0,2016-09-10,3018,1.0,127.0,-37.8686,144.8182
245,Altona,261 Queen St,4,1070000.0,2016-09-10,3018,2.0,695.0,-37.8733,144.8147
246,Altona,4/5 Rose St,2,425000.0,2016-09-10,3018,2.0,115.0,-37.871,144.8185
247,Altona,1/60 David St,3,605000.0,2016-12-10,3018,2.0,230.0,-37.8646,144.827
248,Altona,1A Merritt Ct,3,705000.0,2017-02-11,3018,2.0,197.0,-37.8579,144.8181
249,Altona,4/31 Millers Rd,2,391000.0,2017-02-11,3018,1.0,0.0,-37.8678,144.8384
250,Altona,111/112 Pier St,2,440000.0,2017-02-11,3018,1.0,0.0,-37.8659,144.831
251,Altona,24 Wren St,4,845000.0,2017-02-11,3018,2.0,745.0,-37.8658,144.8155
252,Altona,54 Seves St,3,766000.0,2017-03-11,3018,,,,
253,Altona,1/152 Blyth St,3,743000.0,2016-11-12,3018,2.0,211.0,-37.8698,144.816
254,Altona,2/6 Galvin St,3,650000.0,2016-11-12,3018,,,,
255,Altona,4/57 Blyth St,3,730000.0,2016-08-13,3018,1.0,69.0,-37.868,144.8286
256,Altona,10 Wilga Av,3,916500.0,2016-08-13,3018,,,,
257,Altona,164 Maidstone St,3,635000.0,2016-05-14,3018,4.0,625.0,-37.8611,144.8114
258,Altona,3/25 Rayner St,2,620000.0,2016-05-14,3018,1.0,168.0,-37.8676,144.8202
259,Altona,3/46 Sargood St,2,447000.0,2016-10-15,3018,1.0,137.0,-37.8655,144.8299
260,Altona,1/57 Blyth St,3,730000.0,2016-04-16,3018,1.0,70.0,-37.868,144.8287
261,Altona,22 Fenfield St,3,678000.0,2016-04-16,3018,2.0,606.0,-37.8608,144.8124
262,Altona,5/8 David St,2,580000.0,2016-07-16,3018,1.0,175.0,-37.8687,144.8268
263,Altona,1/28 Seves St,3,712000.0,2016-09-17,3018,2.0,363.0,-37.8674,144.8375
264,Altona,27 McIntyre Dr,3,840000.0,2017-03-18,3018,2.0,534.0,-37.86,144.8245
265,Altona,4 Boyd St,3,980000.0,2016-11-19,3018,2.0,724.0,-37.8672,144.817
266,Altona,5a Emu Av,4,1000000.0,2016-11-19,3018,,,,
267,Altona,12 Spear Ct,3,605100.0,2016-05-22,3018,0.0,265.0,-37.8583,144.8172
268,Altona,185 Queen St,3,880000.0,2016-08-22,3018,1.0,577.0,-37.8699,144.8235
269,Altona,3/20 Mulga St,3,577000.0,2016-04-23,3018,1.0,205.0,-37.8684,144.815
270,Altona,95 Blyth St,4,,2017-02-25,3018,3.0,504.0,-37.8677,144.8252
271,Altona,51 Millers Rd,4,1030000.0,2017-02-25,3018,0.0,797.0,-37.8663,144.8387
272,Altona,2/119 Railway St N,3,605000.0,2017-02-25,3018,2.0,181.0,-37.8659,144.822
273,Altona,12 Ransom Av,3,685000.0,2017-02-25,3018,,,,
274,Altona,2/5 Rose St,2,,2017-02-25,3018,1.0,117.0,-37.871,144.8185
275,Altona,24 McIntyre Dr,3,753000.0,2016-06-27,3018,2.0,529.0,-37.8612,144.8247
276,Altona,104 Maidstone St,2,857000.0,2016-11-27,3018,1.0,675.0,-37.8653,144.8129
277,Altona,49 Bent St,3,1500000.0,2016-05-28,3018,1.0,929.0,-37.8651,144.832
278,Altona,5/57 Blyth St,3,730000.0,2016-05-28,3018,1.0,70.0,-37.868,144.8285
279,Altona,15 Kookaburra St,3,900000.0,2016-05-28,3018,4.0,697.0,-37.871,144.8075
280,Altona,219 Civic Pde,3,740000.0,2016-08-28,3018,2.0,604.0,-37.8631,144.8195
281,Altona,3 Curtin Ct,4,931000.0,2016-08-28,3018,3.0,532.0,-37.8637,144.8365
282,Altona,2/60 David St,2,535600.0,2016-07-30,3018,1.0,154.0,-37.8646,144.8272
